NAME,POPULATION,ABBREV
Alabama,4858979,AL
Alaska,738432,AK
Arizona,6828065,AZ
Arkansas,2978204,AR
California,39144818,CA
Colorado,5456574,CO
Connecticut,3590886,CT
Delaware,945934,DE
District of Columbia,672228,DC
Florida,20271272,FL
Georgia,10214860,GA
Hawaii,1431603,HI
Idaho,1654930,ID
Illinois,12859995,IL
Indiana,6619680,IN
Iowa,3123899,IA
Kansas,2911641,KS
Kentucky,4425092,KY
Louisiana,4670724,LA
Maine,1329328,ME
Maryland,6006401,MD
Massachusetts,6794422,MA
Michigan,9922576,MI
Minnesota,5489594,MN
Mississippi,2992333,MS
Missouri,6083672,MO
Montana,1032949,MT
Nebraska,1896190,NE
Nevada,2890845,NV
New Hampshire,1330608,NH
New Jersey,8958013,NJ
New Mexico,2085109,NM
New York,19795791,NY
North Carolina,10042802,NC
North Dakota,756927,ND
Ohio,11613423,OH
Oklahoma,3911338,OK
Oregon,4028977,OR
Pennsylvania,12802503,PA
Rhode Island,1056298,RI
South Carolina,4896146,SC
South Dakota,858469,SD
Tennessee,6600299,TN
Texas,27469114,TX
Utah,2995919,UT
Vermont,626042,VT
Virginia,8382993,VA
Washington,7170351,WA
West Virginia,1844128,WV
Wisconsin,5771337,WI
Wyoming,586107,WY
Puerto Rico,3474182,PR
